2025-08-12 20:21:51.121 [COMUM] -> Renomeado: C:\Users\samue\Documents\pastaAlvo\Novo(a) Documento de Texto.txt -> C:\Users\samue\Documents\pastaAlvo\iubhhikj.txt
2025-08-12 20:21:51.126 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:21:54.504 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj.txt
2025-08-12 20:21:57.807 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia.txt
2025-08-12 20:21:57.814 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia.txt
2025-08-12 20:21:57.822 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia.txt
2025-08-12 20:21:57.835 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:21:58.168 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (2).txt
2025-08-12 20:21:58.189 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (2).txt
2025-08-12 20:21:58.191 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (2).txt
2025-08-12 20:21:58.278 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:21:58.286 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (3).txt
2025-08-12 20:21:58.299 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (3).txt
2025-08-12 20:21:58.304 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (3).txt
2025-08-12 20:21:58.308 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:21:58.313 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (4).txt
2025-08-12 20:21:58.316 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (4).txt
2025-08-12 20:21:58.319 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (4).txt
2025-08-12 20:21:58.322 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:21:58.883 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (5).txt
2025-08-12 20:21:58.907 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (5).txt
